Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1217.txt` opened OK.
CSV File `./LogFiles/Log20200210_1217.csv` opened OK.
20200210_121820,1.479247,Information,3,1,1,0,In MC Loop, Realsense, Idx=22, Coord=[-37.565517, -32.930210, 61.000000], FinalFingerPos=[-68.000000, -32.485517, 34.430210], Midi=[None]
20200210_121820,1.479263,Information,3,1,1,0,In MC Loop, Realsense, Idx=23, Coord=[-37.608330, -33.470051, 62.000000], FinalFingerPos=[-69.000000, -32.528330, 34.970051], Midi=[None]
20200210_121820,1.479278,Information,3,1,1,0,In MC Loop, Realsense, Idx=24, Coord=[-37.871601, -34.225826, 63.400002], FinalFingerPos=[-70.400002, -32.791601, 35.725826], Midi=[None]
20200210_121820,1.479294,Information,3,1,1,0,In MC Loop, Realsense, Idx=25, Coord=[-37.814941, -34.711681, 64.300003], FinalFingerPos=[-71.300003, -32.734941, 36.211681], Midi=[None]
20200210_121820,1.479310,Information,3,1,1,0,In MC Loop, Realsense, Idx=26, Coord=[-37.741650, -35.197536, 65.200005], FinalFingerPos=[-72.200005, -32.661650, 36.697536], Midi=[None]
20200210_121820,1.479326,Information,3,1,1,0,In MC Loop, Realsense, Idx=27, Coord=[-37.708683, -35.737377, 66.200005], FinalFingerPos=[-73.200005, -32.628683, 37.237377], Midi=[None]
20200210_121820,1.479342,Information,3,1,1,0,In MC Loop, Realsense, Idx=28, Coord=[-37.825336, -36.439167, 67.500000], FinalFingerPos=[-74.500000, -32.745336, 37.939167], Midi=[None]
20200210_121820,1.479357,Information,3,1,1,0,In MC Loop, Realsense, Idx=29, Coord=[-37.917965, -37.140961, 68.800003], FinalFingerPos=[-75.800003, -32.837965, 38.640961], Midi=[None]
20200210_121820,1.479373,Information,3,1,1,0,In MC Loop, Realsense, Idx=30, Coord=[-37.932377, -37.788765, 70.000008], FinalFingerPos=[-77.000008, -32.852377, 39.288765], Midi=[None]
20200210_121820,1.479389,Information,3,1,1,0,In MC Loop, Realsense, Idx=31, Coord=[-37.977875, -38.490562, 71.300003], FinalFingerPos=[-78.300003, -32.897875, 39.990562], Midi=[None]
