Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1251.txt` opened OK.
CSV File `./LogFiles/Log20200210_1251.csv` opened OK.
20200210_125133,1.459752,Information,3,1,1,0,In MC Loop, Realsense, Idx=22, Coord=[-37.935020, -33.254116, 61.600006], FinalFingerPos=[54.600006, -32.855020, -31.754116], Midi=[None]
20200210_125133,1.459775,Information,3,1,1,0,In MC Loop, Realsense, Idx=23, Coord=[-37.850967, -33.685986, 62.400002], FinalFingerPos=[55.400002, -32.770967, -32.185986], Midi=[None]
20200210_125133,1.459798,Information,3,1,1,0,In MC Loop, Realsense, Idx=24, Coord=[-37.871601, -34.225826, 63.400002], FinalFingerPos=[56.400002, -32.791601, -32.725826], Midi=[None]
20200210_125133,1.459821,Information,3,1,1,0,In MC Loop, Realsense, Idx=25, Coord=[-37.814941, -34.711681, 64.300003], FinalFingerPos=[57.300003, -32.734941, -33.211681], Midi=[None]
20200210_125133,1.459844,Information,3,1,1,0,In MC Loop, Realsense, Idx=26, Coord=[-37.683765, -35.143555, 65.100006], FinalFingerPos=[58.100006, -32.603765, -33.643555], Midi=[None]
20200210_125133,1.459867,Information,3,1,1,0,In MC Loop, Realsense, Idx=27, Coord=[-37.651718, -35.683395, 66.099998], FinalFingerPos=[59.099998, -32.571718, -34.183395], Midi=[None]
20200210_125133,1.459890,Information,3,1,1,0,In MC Loop, Realsense, Idx=28, Coord=[-37.825336, -36.439167, 67.500000], FinalFingerPos=[60.500000, -32.745336, -34.939167], Midi=[None]
20200210_125133,1.459913,Information,3,1,1,0,In MC Loop, Realsense, Idx=29, Coord=[-38.028194, -37.248932, 69.000008], FinalFingerPos=[62.000008, -32.948194, -35.748932], Midi=[None]
20200210_125133,1.459936,Information,3,1,1,0,In MC Loop, Realsense, Idx=30, Coord=[-38.203327, -38.058685, 70.500008], FinalFingerPos=[63.500008, -33.123327, -36.558685], Midi=[None]
20200210_125133,1.459959,Information,3,1,1,0,In MC Loop, Realsense, Idx=31, Coord=[-38.244202, -38.760479, 71.800003], FinalFingerPos=[64.800003, -33.164202, -37.260479], Midi=[None]
20200210_125133,1.459982,Information,3,1,1,0,In MC Loop, Realsense, Idx=32, Coord=[-38.051682, -39.246334, 72.700005], FinalFingerPos=[65.700005, -32.971682, -37.746334], Midi=[None]
20200210_125133,1.460005,Information,3,1,1,0,In MC Loop, Realsense, Idx=33, Coord=[-37.945358, -39.840160, 73.800003], FinalFingerPos=[66.800003, -32.865358, -38.340160], Midi=[None]
20200210_125133,1.460028,Information,3,1,1,0,In MC Loop, Realsense, Idx=34, Coord=[-38.424606, -41.081791, 76.100006], FinalFingerPos=[69.100006, -33.344606, -39.581791], Midi=[None]
